example_id                                                      | status | run_time        |
./spec/requests/api/v1/users_spec.rb[1:1:5:1]                   | passed | 0.00064 seconds |
./spec/requests/api/v1/users_spec.rb[1:1:6:1]                   | passed | 0.00096 seconds |
./spec/requests/api/v1/users_spec.rb[1:1:7:1]                   | passed | 0.23413 seconds |
./spec/requests/api/v1/users_spec.rb[1:1:8:1]                   | passed | 0.46087 seconds |
./spec/requests/api/v1/users_spec.rb[1:2:1:1]                   | passed | 0.00072 seconds |
./spec/requests/api/v1/users_spec.rb[1:2:2:1]                   | failed | 0.0123 seconds  |
./spec/requests/api/v1/users_spec.rb[1:3:1:1]                   | passed | 0.00081 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:2:1]                   | passed | 0.00274 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:3:1]                   | passed | 0.00295 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:4:1]                   | passed | 0.00418 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:5:1]                   | passed | 0.00441 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:6:1]                   | passed | 0.00317 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:7:1]                   | failed | 0.00422 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:8:1]                   | failed | 0.02652 seconds |
./spec/validators/username_format_validator_spec.rb[1:1:1:1]    | passed | 0.01266 seconds |
./spec/validators/username_format_validator_spec.rb[1:1:2:1]    | passed | 0.00026 seconds |
./spec/validators/username_format_validator_spec.rb[1:1:3:1]    | passed | 0.0002 seconds  |
./spec/validators/username_format_validator_spec.rb[1:1:4:1]    | passed | 0.00065 seconds |
./spec/validators/username_format_validator_spec.rb[1:1:5:1]    | passed | 0.00018 seconds |
./spec/validators/username_format_validator_spec.rb[1:1:6:1]    | failed | 0.00026 seconds |
./spec/validators/username_format_validator_spec.rb[1:1:7:1]    | failed | 0.00025 seconds |
./spec/validators/username_format_validator_spec.rb[1:1:8:1]    | failed | 0.00028 seconds |
./spec/validators/username_format_validator_spec.rb[1:1:9:1]    | failed | 0.00027 seconds |
./spec/validators/username_format_validator_spec.rb[1:1:10:1]   | failed | 0.00043 seconds |
